Sample,MP2/(H29/29Ts),C3-Dibenzothiophenes/C3-Phenanthrenes/Anthracenes,C1-Naphthobenzothiophenes/C1-Fluoranthenes/Pyrenes,MP2/Perylene,MP2/Benzo[e]pyrene,28S TAS/Tm,27dia S/Tm,Bsnh/Hop,C1-Phenanthrenes/Anthracenes/Pristane,C2-Phenanthrenes/Anthracenes/Phytane,C1-Dibenzothiophenes/C1-Phenanthrenes/Anthracenes,C2-Dibenzothiophenes/C2-Phenanthrenes/Anthracenes,C1-Dibenzothiophenes/Pristane,27bb R/Hop,"2,6,10 Trimethyldodecane (1380)/C4-Decalins",27bb S/Hop,C26 Tricyclic Terpane-22S/H29,Tm/Bsnh,n-Tetracosane (C24)/Hop,H29/Hop,Bsnh/H29,29Ts/Hop,Benzo[e]pyrene/Hop,Pr/Phy,nC17/pristane,nC18/phytane,Type,Date,,,
SH3-C,20.37993276,-2.69498436,-11.16014781,27.10000873,66.80368177,-10.15374148,-0.107050897,8.921108631,-12.90424149,-6.14112567,-4.098335592,4.537396209,-15.66619079,3.076064504,-8.543655756,-0.269483144,17.58602596,-3.212087839,-7.768545484,3.645450218,5.014230002,8.165354696,-32.41356397,-7.214516839,2.688585574,-20.28115813,Group 4,7/24/12,,,
SH3-D,12.63630447,-6.977421186,-9.972241716,39.17300159,53.78381649,-19.03254048,-14.62219347,16.97828653,-16.60489559,1.939804365,-1.823975945,0.605693442,-17.33444924,3.31667452,-16.30397206,-5.484184311,-7.700959917,-1.519125212,37.02980968,2.985857773,13.50474222,3.720203133,-28.92268584,-13.92979908,-12.61031216,-36.43559116,Group 4,7/24/12,,,
SH3-E,-30.28489698,-20.44794769,17.80659361,13.19178125,-8.887786004,-15.43750959,-4.204604731,-8.728206242,32.1329729,117.6416567,-20.71645639,-32.14022604,5.772513825,-3.099636092,,-2.1244881,10.52814701,6.040783148,169.7456963,-7.035441011,-1.891753403,-8.282469859,-24.20084679,-63.11070279,414.3368916,72.00125357,W,7/24/12,,,
SH1,46.36804432,-0.575987085,-5.813852812,49.26995379,105.4620754,-12.10632817,-0.653507629,18.92640564,-10.98914019,-4.153962718,-1.636921854,-0.713876836,-11.59971322,-5.054189032,47.68644375,-2.618915451,-24.5713341,-14.88120019,-22.8040156,3.680580605,14.62179737,7.449027843,-32.81713079,6.208745826,-5.44953828,-12.15650264,Group 4,2/23/13,,,
SH2,26.75883225,-7.639924954,3.909008712,28.99825699,24.79891013,-9.374538577,8.343910548,-6.245343884,4.163650186,18.42089173,-9.357547716,-4.542225314,-4.670700046,2.385893669,41.25428704,5.101587046,-11.64332194,2.3960166,17.77768766,-4.54635257,-1.850823805,-2.206665618,-3.105365451,14.09716103,20.8992968,25.24878928,Group 3,2/23/13,,,
SH3,77.67593431,1.616790236,-3.183683849,57.5657955,112.0180566,-20.23403522,-12.77006155,20.64614562,-25.91103872,-15.62897955,0.524558847,-1.038323693,-24.80235345,5.964967658,43.68718087,6.924932153,-15.1520097,-0.733967551,-31.50127341,0.687066305,19.73637512,11.2557934,-25.87651523,8.863964471,-42.26757522,-31.57831086,Group 4,2/23/13,,,
SH4,77.1424851,1.440500434,-5.361342718,66.67173512,106.0027208,-19.76485998,-6.29627505,25.57963113,-16.84194384,-9.656554378,-1.388733011,0.599584279,-17.20398499,8.163497032,39.64667406,8.12997072,-12.96692396,-4.42543066,-22.09859675,4.074428964,20.57617646,9.205406183,-19.906238,5.222130007,-36.15919546,-25.55344902,Group 4,2/23/13,,,
SH5,61.51699088,-4.019242943,-6.720858554,67.01331908,105.7987761,-17.47426062,-4.951196094,22.58963991,-27.00371921,-16.574991,-2.724744045,0.587525449,-28.30618645,0.302717477,31.63771965,2.734448087,-7.002880525,-10.48174159,-24.0777661,-1.251185225,24.05327076,4.486260999,-27.50682037,7.010144759,-30.6461283,-33.7417149,Group 4,2/23/13,,,
170308-01,-9.511278286,-7.205553254,11.09515939,-2.128855291,11.13617305,-16.31774723,-15.52288807,-36.25399435,6.14522409,7.772518434,-7.34091236,-6.617855231,-0.695930875,-29.86857645,15.58418491,-27.37500678,-31.24288204,37.72457433,8.269473318,-10.58254845,-28.76112861,-9.404652158,-21.45755353,-2.607254443,82.16073234,27.34178256,Group 3,3/8/17,,,
170308-02,-22.65168439,-6.055331484,11.71215969,-21.10773735,-11.08356855,-20.16379839,-20.13805732,-36.89623536,6.072720522,4.574598136,-5.765798742,-4.717071042,0.923157209,-26.95697268,10.5811835,-25.26294197,-24.03485039,52.12628138,6.645431218,-7.824918308,-31.58866277,-8.600275282,-14.25940406,-2.83427716,90.51317971,45.08799271,Group 3,3/8/17,,,
