Sample,MP2/Perylene,MP2/Benzo[e]pyrene,28S TAS/Tm,27dia S/Tm,Bsnh/Hop,C1-Phenanthrenes/Anthracenes/Pristane,C2-Phenanthrenes/Anthracenes/Phytane,C1-Dibenzothiophenes/C1-Phenanthrenes/Anthracenes,C2-Dibenzothiophenes/C2-Phenanthrenes/Anthracenes,C1-Dibenzothiophenes/Pristane,27bb R/Hop,Type
DSLH 1-2,8.614996074,30.74100602,-1.728360913,9.674877454,-33.9770541,-5.708663767,6.496939084,1.707684163,0.173534511,-3.932837842,1.443768071,DSLH
DSLH 1-3,5.109700409,30.92117504,6.401855318,15.93435372,-38.31701886,-9.560982661,4.219780393,0.574223069,0.034802165,-8.884570447,-2.575206886,DSLH
2 (SPLIT),,,-26.15483194,-9.989829279,7.45468807,-38.58042291,-24.93768533,7.344825601,4.367992853,-33.95539574,4.555234065,MC20 Sampled Oils
3 (SPLIT),,,-33.18858884,-18.65671334,-7.49726296,-45.94410297,-32.50076862,9.22296989,5.162828182,-40.85657572,-12.5148188,MC20 Sampled Oils
4 (SPLIT),,,-32.3521514,-16.76307672,32.59089254,-43.11997842,-28.59887508,7.782304438,6.717599083,-38.58752181,5.033007098,MC20 Sampled Oils
TAMUGER6 (L5691),-8.965403186,-58.53569135,-12.64638906,-0.108913936,-35.37863229,-32.07796886,-41.98851012,-3.289492023,0.318182938,-34.19881198,-11.16889293,Res Oils
TAMUGER6 (L5686),38.29948262,116.9083696,-20.74257739,-18.27213396,-2.122348064,-54.86050637,-53.79927211,14.02180697,17.01865865,-48.44224388,-10.42863371,Res Oils
TAMUGER6 (L5681),-42.16708428,-84.48694254,-7.533006952,8.198883407,-62.23099124,-13.11020005,-25.7191168,-8.926872957,-2.492365703,-20.73007422,3.432861562,Res Oils
20200609WLB1A21,5.70047369,62.37830152,-13.72499309,-5.02729135,-6.758284328,-46.93607563,-42.34343945,11.01145288,10.89099241,-40.99123062,-6.137356543,Res Oils
20200609WLB2A19,-29.38433414,1.860354542,-1.960219425,3.186564533,-39.27334415,-29.43579932,-23.6619552,2.30374332,0.392069316,-27.68550511,-0.081702126,Res Oils
ROV-1,13.50160594,-6.817705313,-2.935200668,0.063824434,-2.23862997,11.26088077,-3.97520356,3.175208926,5.880572459,14.99190171,-6.128830121,MC20 Sampled Oils
ROV-2,23.66513465,0.237537063,-17.51523916,-22.24838692,-6.212502723,1.305040579,-10.19873787,6.889773193,7.722842469,8.471742335,-9.793057605,MC20 Sampled Oils
ROV-3,21.42149578,4.794554504,1.638603147,-3.949341876,-2.073983023,-2.042683463,-13.75164117,7.220443331,7.502166812,5.211662648,-9.334622286,MC20 Sampled Oils
ROV-3 (dup),19.75016258,3.880162889,-8.780954802,-15.74991009,-2.160566592,0.341647971,-12.82893913,5.221373696,7.759710355,5.76320487,-8.630861302,MC20 Sampled Oils
ROV-4,91.86791432,-11.05653635,-49.43211318,-39.80783736,,-65.14428497,-54.51635658,-32.8189311,1.700810813,-76.54311647,-4.488793681,MC20 Sampled Oils
ROV-5,125.7026727,68.20472418,-12.64019552,-9.265545476,12.92682267,-74.87935681,-63.58177406,-31.14748266,5.336156052,-82.67393322,-13.65948472,MC20 Sampled Oils
ROV-6,87.41171692,-26.28245131,,,,-76.36900676,-65.89779606,-24.50127495,-2.766021848,-82.12808874,-8.838047558,MC20 Sampled Oils
ROV-7,39.56493768,-14.09608148,-29.04318584,-23.7813373,25.18509208,-32.40974961,-22.29877583,-34.87368605,-3.265394327,-55.90493781,-10.32822,MC20 Sampled Oils
043019 A1,-1.035771464,19.24897582,2.812057187,1.969802042,5.387046842,-4.255092395,-0.788267441,1.08011721,-2.466725263,-3.053791914,-5.021216317,POs Post-Con
043019 A4,-5.459924825,-0.302134677,12.26236943,5.74159298,0.79307668,1.801244736,4.806302372,-2.013124185,-2.589873337,-0.075863292,-11.28063017,POs Post-Con
043019 B1,0.677613163,3.282886937,1.284721766,-5.752354659,0.193117891,2.237235354,5.687971199,-2.77941955,-2.048313532,-0.432704125,-7.705038444,POs Post-Con
043019 B3,0.388814821,-6.019294275,3.583243578,2.426334019,4.815022641,3.012648179,5.80212614,-3.312202017,-1.909340051,-0.227322509,-6.124163396,POs Post-Con
043019 C1,-3.416122775,1.778112769,4.48247802,0.051261493,-2.445535816,-7.086631054,-5.54309285,3.105839668,-1.771300844,-4.035439971,-10.7664219,POs Post-Con
043019 C4,1.277211413,4.509664458,-4.778161304,-7.796275798,5.153173232,-1.458758195,3.919428648,-0.073168749,-0.930198833,-1.360797471,-2.901443364,POs Post-Con
Oil-30Jan2020-1,11.44364427,17.37764449,-2.687228107,-0.219998119,7.264632159,11.44058302,0.942829279,-3.122886472,0.860621613,8.146874255,-2.720067639,POs Post-Con
Oil-30Jan2020-3,6.538120365,-5.924516736,13.78477257,10.40764649,-1.22380606,17.117203,-1.718451588,-3.470265221,0.700741442,13.24817462,0.96925834,POs Post-Con
"OIL-19JUN20, 15:32,40 (0001)",-2.304543625,-8.223132158,-10.20767204,3.352029605,-1.529344441,-8.098096158,-1.883160065,2.782439544,1.991082043,-5.377844847,11.75526373,POs Post-Con
"OIL-19JUN20, 15:33,41 (0002)",-3.513373794,-9.804894445,-8.079071872,-5.378967266,-4.356175925,-2.964520518,-2.797292114,0.955346441,2.950245823,-1.868308391,13.21885982,POs Post-Con
"OIL-19JUN20, 22:43,471 (0003)",-1.432262765,-4.580950727,-4.20491479,-1.449709665,-5.858434942,-5.808696368,-4.777911554,4.508640208,2.865093756,-1.391940956,12.28624977,POs Post-Con
"OIL-19JUN20, 22:43,471 (0004)",-3.16340478,-11.34236145,-8.252594447,-3.351361125,-8.192772261,-5.937119597,-3.650482026,2.338683123,2.347967185,-3.571035402,8.289349567,POs Post-Con
